Time (s),A-output,B-output
4.080196,-0.01531,0.096275
4.085196,0.037372,0.077467
4.090196,0.075884,0.007477
4.095196,0.089247,0.005696
4.100196,0.118791,0.019215
4.105196,0.105062,0.046388
4.110196,0.056793,0.016947
4.115196,0.018481,-0.030777
4.120196,0.019122,-0.039255
4.125196,0.059512,-0.099314
4.130196,0.061946,-0.101335
4.135196,0.081285,-0.123275
4.140196,0.123294,-0.115672
4.145196,0.180024,-0.102142
4.150196,0.206859,-0.088087
4.155196,0.182271,-0.079889
4.160196,0.202396,-0.107593
4.165196,0.196162,-0.049585
4.170196,0.185648,-0.020736
4.175196,0.145419,-0.012955
4.180196,0.110486,-0.006989
4.185196,0.113157,-0.005888
4.190196,0.122011,-0.020965
4.195196,0.128537,-0.04775
4.200196,0.130566,-0.036952
4.205196,0.163382,-0.048364
4.210196,0.183766,-0.02498
4.215196,0.199988,-0.008585
4.220196,0.199437,-0.015835
4.225196,0.184005,-0.018772
4.230196,0.162693,-0.036816
4.235196,0.129082,-0.051848
4.240196,0.098067,-0.051157
4.245196,0.078665,-0.030976
4.250196,0.058546,-0.024339
4.255196,0.043406,-0.017005
4.260196,0.026707,0.01832
4.265196,0.014582,0.015683
4.270196,-0.000318,-0.019542
4.275196,0.004493,0.001282
4.280196,0.073689,0.03765
4.285196,0.102239,0.081003
4.290196,0.085534,0.063752
4.295196,0.048273,0.016842
4.300196,0.037449,-0.010044
4.305196,0.021179,0.022616
4.310196,-0.038918,0.100601
4.315196,-0.058919,0.062907
4.320196,-0.07366,0.03863
4.325196,-0.07104,0.027127
4.330196,-0.066487,0.034531
4.335196,-0.056744,0.024086
4.340196,-0.030277,-0.028123
4.345196,-0.018776,-0.080023
4.350196,-0.037121,-0.092988
4.355196,-0.080637,0.028072
4.360196,-0.089683,0.130374
4.365196,-0.079432,0.137302
4.370196,-0.081832,0.056447
4.375196,-0.114748,0.008284
4.380196,-0.133797,0.021528
4.385196,-0.109326,0.028865
4.390196,-0.095603,0.01328
4.395196,-0.094539,-0.036934
4.400196,-0.120568,-0.025819
4.405196,-0.120228,0.004239
4.410196,-0.106612,0.023032
4.415196,-0.11269,0.024543
4.420196,-0.126682,0.039702
4.425196,-0.139779,0.102226
4.430196,-0.128652,0.130027
4.435196,-0.139251,0.136843
4.440196,-0.146539,0.104019
4.445196,-0.152079,0.077809
4.450196,-0.154359,0.076961
4.455196,-0.146266,0.077267
4.460196,-0.142081,0.082766
4.465196,-0.128153,0.070076
4.470196,-0.118881,0.062181
4.475196,-0.11103,0.026798
4.480196,-0.111048,0.003176
4.485196,-0.105659,0.017368
4.490196,-0.084907,-0.001947
4.495196,-0.06433,0.037747
4.500196,-0.063249,0.185583
4.505196,-0.055968,0.234994
4.510196,-0.081425,0.198785
4.515196,-0.134544,0.168009
